

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	25083	10472	18433	15758
13	100646	161677	17021	8396
23	170923	500507	18269	8773
33	244744	1029586	19949	9366
43	312936	1744313	21328	9909
53	383359	2651162	23549	10736
63	456979	3744210	25826	11450
73	526431	5032593	27745	12513
83	597462	6546025	30798	12981
93	682843	8233352	33544	13991
103	743085	10090865	36429	14686
113	836809	12142711	40062	15857
123	901147	14379321	42786	16558
133	948912	16803134	48125	17314
143	1018176	19417671	50760	18135
153	1099037	22229003	55400	19006
163	1170870	25284187	59809	20032
173	1262940	28472945	66919	21028
183	1313202	31848701	69328	21573
193	1411951	35450301	75474	23143
203	1482867	39166813	80550	23824
213	1523956	43071335	87370	25433
223	1581282	47240690	93069	26463
233	1676757	51604189	100126	27513
243	1725820	56205093	108372	28230
253	1812287	60916774	114763	29744
263	1876877	65806511	121787	30970
273	1992451	70990448	131062	31757
283	2061583	76252859	138491	33185
293	2091100	81747698	146548	34528
303	2152416	87418992	159801	39025
