

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	25589	8466	16175	15549
13	89049	28759	6138	6038
23	148450	51904	5904	5916
33	208826	76098	6606	6294
43	272451	103731	7182	6895
53	330318	132207	7687	7826
63	393664	158213	8258	8199
73	449827	184801	8758	8912
83	514430	211111	9402	9322
93	576150	237531	9805	9824
103	638046	264331	10270	10369
113	700334	291388	10848	11045
123	760766	318615	11586	11788
133	814729	344679	12125	12259
143	875478	372491	12817	12740
153	946077	398167	13575	13611
163	1006819	426109	14079	14019
173	1066740	453254	15017	14983
183	1126395	478891	15869	15675
193	1191639	507498	16356	16334
203	1250442	535275	17136	17338
213	1315309	563844	17720	17806
223	1360634	591459	18508	18551
233	1420511	619359	19215	19038
243	1484394	649140	20395	20339
253	1545345	675203	21203	20795
263	1618266	704633	22187	21698
273	1676651	733517	23326	22893
283	1740634	763258	23962	23792
293	1800987	794287	25405	24899
303	1847830	822018	28898	28877
